"City","year","partialYearMonths","BlackPop","WhitePop","StanfordStopsBl","StanfordStopsWh","StanSearchBl","StanSearchWh","StanFriskBl","StanFriskWh","BlackProp","WhiteProp","DiffBlackMinusWhite","RatioBlackWhite","animus_score","implicit_score_mean","implicit_nobs","Region","WhitePoliceShare","WhitePopShare","HispPoliceShare","HispPopShare","BlackPoliceShare","BlackPopShare","AsianPoliceShare","AsianPopShare","PoliceRatioWhBl","None"
"San Jose",2017,NA,70067,934872,1702,3900,372,350,NA,NA,0.0243,0.0042,0.0201,5.8228,47.64,0.2929,3520,"West",56.3,27.7,24.4,33.4,4.7,2.7,3,32.6,11.98,1
"Stockton",2017,NA,67010,241022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.89,0.262,434,"West",65.3,21.6,22.9,42.1,2.3,10.6,8.2,21.3,28.39,1
"Tampa",2017,NA,106621,278859,29984,62745,NA,NA,NA,NA,0.2812,0.225,0.0562,1.2498,68.72,0.333,2683,"South",69.3,46.1,14.3,22.6,14.5,24.7,1.6,3.8,4.78,1
"Tulsa",2017,NA,77588,321539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.59,0.2887,917,"South",76.2,57,2.6,14.6,9.9,14.9,1.3,2.5,7.7,1
"Wichita",2017,NA,51009,337246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.3,0.2986,513,"Midwest",81.4,63.8,7.1,15.9,7.9,11.1,3,4.7,10.3,1
"Winston-Salem",2017,NA,94349,149523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.91,0.2805,821,"South",80.7,46.5,4,15.5,14.1,34,0.7,1.9,5.72,1
"Austin",2016,6,90966,825102,2391,8468,200,178,92,116,0.0526,0.0205,0.032,2.5611,52.54,0.2524,2661,"South",69.2,49.3,20.5,33.9,8.7,7.5,1.6,6.5,7.95,1
"Bakersfield",2016,NA,39743,332181,2522,10151,NA,NA,NA,NA,0.0635,0.0306,0.0329,2.0766,57.52,0.2773,570,"West",75,35.7,19.2,46.9,3.4,8,2.4,6.6,22.06,1
"Burlington",2016,NA,2268,40417,405,4011,16,48,NA,NA,0.1786,0.0992,0.0793,1.7994,51.07,0.3274,268,"Northeast",92,88.9,2,2.7,2,3.9,4,3.6,46,1
"Charlotte",2016,NA,369651,464629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,0.2858,3193,"South",77.2,44.2,3.7,13.4,16.5,34.5,2.1,5.1,4.68,1
"Cincinti",2016,NA,140184,161424,13534,7330,NA,NA,NA,NA,0.0965,0.0454,0.0511,2.1261,71.84,0.3025,3288,"Midwest",66.1,49.4,0.5,2.9,30.6,43,0.6,1.9,2.16,1
"Columbus",2016,NA,275807,585573,11843,10778,1328,599,NA,NA,0.0429,0.0184,0.0245,2.3329,75.69,0.295,4372,"Midwest",86.4,58.5,1.2,5.8,11.3,27.4,1,4.3,7.65,1
"Durham",2016,NA,121202,140903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.63,0.2511,2548,"South",64.4,38.1,4.6,13.8,29.6,40,0.2,4.8,2.18,1
"Fayetteville",2016,NA,100290,107742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.63,0.3062,1452,"South",71.9,40.8,5.4,11.1,18.6,39.8,2.6,2.7,3.87,1
"Greensboro",2016,NA,132995,154701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.91,0.2639,1040,"South",75.8,45.1,3.5,7.4,19.6,40.6,0.6,3.9,3.87,1
"Hartford",2016,9,66387,56608,1352,1102,34,8,NA,NA,0.0272,0.026,0.0012,1.0461,63.93,0.3687,816,"Northeast",64.7,15.9,20.9,44.9,12.4,34.7,1.9,2.3,5.22,1
"Houston",2016,NA,644921,1602012,91209,168956,NA,NA,NA,NA,0.1414,0.1055,0.036,1.341,51.26,0.264,5298,"South",45.1,25.8,25.3,43.8,22.8,22.7,6,6.2,1.98,1
"Little Rock",2016,NA,89359,106691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.89,0.2588,541,"South",68.5,47.1,2.2,5.9,27.9,42,0.4,3,2.46,1
"Los Angeles",2016,NA,590189,3327069,97115,79230,NA,NA,NA,NA,0.1645,0.0238,0.1407,6.9098,64.39,0.2526,12920,"West",35.4,28.5,43.4,48.6,11.6,8.8,7.1,11.3,3.05,1
"Louisville",2016,NA,146753,464118,9835,21768,989,1071,2,4,0.067,0.0469,0.0201,1.4289,71.64,0.2985,2143,"South",84.8,67.7,2,4.8,11.7,22.5,1.4,2.3,7.25,1
"Madison",2016,NA,20429,230427,6600,19802,NA,NA,NA,NA,0.3231,0.0859,0.2371,3.7594,55.66,0.306,3145,"Midwest",80.1,76,5.4,6.5,10.3,7.2,2.1,7.4,7.78,1
"shville",2016,NA,197836,449784,109148,160664,6517,4168,2569,1513,0.5517,0.3572,0.1945,1.5445,63.43,0.2788,2092,"South",84.9,56,1,10.1,12.3,28.2,1.5,3.2,6.9,1
"New Orleans",2016,NA,239837,134869,19745,8035,2030,410,1674,299,0.0823,0.0596,0.0228,1.3819,61.94,0.2442,1148,"South",38.5,30.7,1.9,5.4,58.2,59.4,1,3,0.66,1
"Oakland",2016,NA,173418,249037,15654,2801,5368,316,NA,NA,0.0903,0.0112,0.079,8.0257,47.64,0.2523,10777,"West",42.9,26.8,21.5,25.9,22.2,25.4,12,16.4,1.93,1
"Oklahoma City",2016,NA,115455,514583,16152,69727,NA,NA,NA,NA,0.1399,0.1355,0.0044,1.0324,58.92,0.2668,1171,"South",85.5,55.8,4.7,18.3,6.7,14,0.8,4.1,12.76,1
"Philadelphia",2016,NA,727283,704878,190973,53231,8387,1963,13922,1799,0.2626,0.0755,0.1871,3.4771,77.93,0.2627,8753,"Northeast",56.8,36.3,8.2,13,33.4,41.7,1.5,6.5,1.7,1
"Pittsburgh",2016,NA,80394,221698,6242,10164,6242,10164,642,413,0.0776,0.0458,0.0318,1.6935,76.08,0.3167,2845,"Northeast",84.3,64.9,0.7,2.5,14.3,24.7,0.6,4.9,5.9,1
"Raleigh",2016,NA,153458,297218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.63,0.2817,1973,"South",83.8,52.8,3.1,11.3,12.2,29.2,0.9,4.4,6.87,1
"San Antonio",2016,NA,120221,1353750,11710,39583,90,225,NA,NA,0.0974,0.0292,0.0682,3.3312,46.23,0.2628,1622,"South",42.3,26.5,51.5,63,5.4,6.5,0,2.3,7.83,1
"San Diego",2016,NA,131330,1253705,11808,42091,1029,954,NA,NA,0.0899,0.0336,0.0563,2.678,52.04,0.2716,4162,"West",65.7,43.3,19.6,29.9,6.5,6.4,4.3,16.5,10.11,1
"San Francisco",2016,6,59320,499912,7153,14198,1017,305,NA,NA,0.2412,0.0568,0.1844,4.2457,47.64,0.2523,10777,"West",52.4,41.6,15.7,15.3,9,5.5,22.3,33.1,5.82,1
"San Jose",2016,NA,69457,927054,1413,2927,310,359,NA,NA,0.0203,0.0032,0.0172,6.4433,47.64,0.2798,3392,"West",56.3,27.7,24.4,33.4,4.7,2.7,3,32.6,11.98,1
"Stockton",2016,NA,67831,237869,2701,1877,592,203,NA,NA,0.0398,0.0079,0.0319,5.0463,61.89,0.2482,489,"West",65.3,21.6,22.9,42.1,2.3,10.6,8.2,21.3,28.39,1
"Tampa",2016,NA,105598,272772,34586,72379,NA,NA,NA,NA,0.3275,0.2653,0.0622,1.2343,68.72,0.2988,2441,"South",69.3,46.1,14.3,22.6,14.5,24.7,1.6,3.8,4.78,1
"Tulsa",2016,NA,77677,320418,4549,20261,NA,NA,NA,NA,0.0586,0.0632,-0.0047,0.9261,40.59,0.2821,871,"South",76.2,57,2.6,14.6,9.9,14.9,1.3,2.5,7.7,1
"Wichita",2016,NA,51259,336155,7941,31873,NA,NA,NA,NA,0.1549,0.0948,0.0601,1.6339,38.3,0.3189,554,"Midwest",81.4,63.8,7.1,15.9,7.9,11.1,3,4.7,10.3,1
"Winston-Salem",2016,NA,94151,147685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.91,0.284,950,"South",80.7,46.5,4,15.5,14.1,34,0.7,1.9,5.72,1
"Austin",2015,NA,89889,805233,4509,16582,413,519,177,347,0.0502,0.0206,0.0296,2.4359,52.54,0.2821,2485,"South",69.2,49.3,20.5,33.9,8.7,7.5,1.6,6.5,7.95,1
"Bakersfield",2015,NA,40408,327442,2905,14161,NA,NA,NA,NA,0.0719,0.0432,0.0286,1.6623,57.52,0.2733,380,"West",75,35.7,19.2,46.9,3.4,8,2.4,6.6,22.06,1
"Burlington",2015,NA,2187,40454,504,4444,15,48,NA,NA,0.2305,0.1099,0.1206,2.0978,51.07,0.251,101,"Northeast",92,88.9,2,2.7,2,3.9,4,3.6,46,1
