City,year,partialYearMonths,BlackPop,WhitePop,StanfordStopsBl,StanfordStopsWh,BlackProp,WhiteProp,DiffBlackMinusWhite,RatioBlackWhite,animus_score,implicit_score_mean,implicit_nobs,Region,WhitePoliceShare,WhitePopShare,HispPoliceShare,HispPopShare,BlackPolShare,BlackPopShare,AsianPoliceShare,AsianPopShare,PoliceRatioWhBl
Winston-Salem,2015,,93943,145856,13524,10303,0.1440,0.0706,0.0733,2.0380,67.91,0.2838,656,South,80.7,46.5,4,15.5,14.1,34,0.7,1.9,5.72
Austin,2014,,88765,785411,5104,18992,0.0575,0.0242,0.0333,2.3779,52.54,0.3041,1664,South,69.2,49.3,20.5,33.9,8.7,7.5,1.6,6.5,7.95
Bakersfield,2014,,41049,322728,2934,12550,0.0715,0.0389,0.0326,1.8380,57.52,0.3057,205,West,75,35.7,19.2,46.9,3.4,8,2.4,6.6,22.06
Burlington,2014,,2106,40490,425,4981,0.2018,0.1230,0.0788,1.6404,51.07,0.3325,435,Northeast,92,88.9,2,2.7,2,3.9,4,3.6,46
Charlotte,2014,,369491,430504,76263,50980,0.2064,0.1184,0.0880,1.7430,73,0.3331,1443,South,77.2,44.2,3.7,13.4,16.5,34.5,2.1,5.1,4.68
Cincinti,2014,,140592,159462,14616,9957,0.1040,0.0624,0.0415,1.6649,71.84,0.3314,1517,Midwest,66.1,49.4,0.5,2.9,30.6,43,0.6,1.9,2.16
Columbus,2014,,265824,570773,11290,12978,0.0425,0.0227,0.0197,1.8679,75.69,0.3204,2193,Midwest,86.4,58.5,1.2,5.8,11.3,27.4,1,4.3,7.65
Durham,2014,,118388,132459,14200,6840,0.1199,0.0516,0.0683,2.3228,60.63,0.2875,1395,South,64.4,38.1,4.6,13.8,29.6,40,0.2,4.8,2.18
Fayetteville,2014,,98866,106749,19780,12218,0.2001,0.1145,0.0856,1.7480,60.63,0.2301,139,South,71.9,40.8,5.4,11.1,18.6,39.8,2.6,2.7,3.87
Greensboro,2014,,129644,152041,22440,13321,0.1731,0.0876,0.0855,1.9756,67.91,0.2330,753,South,75.8,45.1,3.5,7.4,19.6,40.6,0.6,3.9,3.87
Hartford,2014,,67745,55843,2971,2511,0.0439,0.0450,-0.0011,0.9753,63.93,0.3025,1081,Northeast,64.7,15.9,20.9,44.9,12.4,34.7,1.9,2.3,5.22
Houston,2014,,639862,1558181,108499,144059,0.1696,0.0925,0.0771,1.8341,51.26,,2621,South,45.1,25.8,25.3,43.8,22.8,22.7,6,6.2,1.98
Little Rock,2014,,89497,105711,,,,,,,61.89,0.2722,474,South,68.5,47.1,2.2,5.9,27.9,42,0.4,3,2.46
Los Angeles,2014,,598079,3277633,106267,132679,0.1777,0.0405,0.1372,4.3893,64.39,0.2837,6504,West,35.4,28.5,43.4,48.6,11.6,8.8,7.1,11.3,3.05
Louisville,2014,,143371,462988,,,,,,,71.64,0.3201,950,South,84.8,67.7,2,4.8,11.7,22.5,1.4,2.3,7.25
Madison,2014,,20215,224759,5901,19325,0.2919,0.0860,0.2059,3.3951,55.66,0.3257,1496,Midwest,80.1,76,5.4,6.5,10.3,7.2,2.1,7.4,7.78
shville,2014,,192785,439369,155572,224707,0.8070,0.5114,0.2955,1.5779,63.43,0.2658,938,South,84.9,56,1,10.1,12.3,28.2,1.5,3.2,6.9
New Orleans,2014,,233960,130453,22334,9328,0.0955,0.0715,0.0240,1.3350,61.94,0.2963,684,South,38.5,30.7,1.9,5.4,58.2,59.4,1,3,0.66
Oakland,2014,,174224,237654,11946,3661,0.0686,0.0154,0.0532,4.4510,47.64,0.2536,5734,West,42.9,26.8,21.5,25.9,22.2,25.4,12,16.4,1.93
Oklahoma City,2014,,114614,498744,16562,72377,0.1445,0.1451,-0.0006,0.9958,58.92,0.3446,524,South,85.5,55.8,4.7,18.3,6.7,14,0.8,4.1,12.76
Philadelphia,2014,,724476,702852,132871,51563,0.1834,0.0734,0.1100,2.5000,77.93,0.2936,5808,Northeast,56.8,36.3,8.2,13,33.4,41.7,1.5,6.5,1.7
Pittsburgh,2014,,82460,220836,8518,13198,0.1033,0.0598,0.0435,1.7284,76.08,0.3475,1874,Northeast,84.3,64.9,0.7,2.5,14.3,24.7,0.6,4.9,5.9
Raleigh,2014,,147721,287361,30964,27760,0.2096,0.0966,0.1130,2.1698,60.63,0.3122,1008,South,83.8,52.8,3.1,11.3,12.2,29.2,0.9,4.4,6.87
San Antonio,2014,,118720,1306396,13841,50766,0.1166,0.0389,0.0777,3.0002,46.23,0.3198,717,South,42.3,26.5,51.5,63,5.4,6.5,0,2.3,7.83
San Diego,2014,,132190,1226967,15508,59997,0.1173,0.0489,0.0684,2.3992,52.04,0.3060,2057,West,65.7,43.3,19.6,29.9,6.5,6.4,4.3,16.5,10.11
San Francisco,2014,,59128,490886,14039,33651,0.2374,0.0686,0.1689,3.4636,47.64,0.2536,5734,West,52.4,41.6,15.7,15.3,9,5.5,22.3,33.1,5.82
