"City","year","partialYearMonths","BlackPop","WhitePop","StanfordStopsBl","StanfordStopsWh","BlackProp","WhiteProp","DiffBlackMinusWhite","RatioBlackWhite","animus_score","implicit_score_mean","implicit_nobs","Region","WhitePoliceShare","BlackPolShare","PoliceRatioWhBl"
"Philadelphia",2011,NA,713378,699022,NA,NA,NA,NA,NA,NA,77.93,0.343958,5075,"Northeast",56.8,33.4,1.70059880239521
"Pittsburgh",2011,NA,85584,219518,10609,18674,0.123960085997383,0.0850681948632914,0.0388918911340913,1.45718486440899,76.08,0.376483,1512,"Northeast",84.3,14.3,5.89510489510489
"Raleigh",2011,NA,208854,649405,36739,31840,0.175907571796566,0.0490294962311655,0.126878075565401,3.58779072432629,60.63,0.3012361,1016,"South",83.8,12.2,6.86885245901639
"San Antonio",2011,NA,116151,1235684,NA,NA,NA,NA,NA,NA,46.23,0.317017,872,"South",42.3,5.4,7.83333333333333
"San Diego",2011,NA,133243,1187098,NA,NA,NA,NA,NA,NA,52.04,0.3478487,1524,"West",65.7,6.5,10.1076923076923
"San Francisco",2011,NA,59519,472079,16089,42332,0.270317041616963,0.0896714321119982,0.180645609504964,3.01452798567264,47.64,0.3130234,4054,"West",52.4,9,5.82222222222222
"San Jose",2011,NA,66412,887958,NA,NA,NA,NA,NA,NA,47.64,0.3408231,1541,"West",56.3,4.7,11.9787234042553
"Stockton",2011,1,71634,222405,NA,NA,NA,NA,NA,NA,61.89,0.3060223,274,"West",65.3,2.3,28.3913043478261
"Tampa",2011,NA,99952,242868,53409,104144,0.53434648631343,0.428809065006506,0.105537421306925,1.24611751457569,68.72,0.3560098,1646,"South",69.3,14.5,4.77931034482759
"Tulsa",2011,NA,78101,314837,8484,33506,0.108628570696918,0.106423323815181,0.00220524688173754,1.02072146220097,40.59,0.328265,343,"South",76.2,9.9,7.6969696969697
"Wichita",2011,NA,52484,330725,13241,48722,0.252286411096715,0.147318769370323,0.104967641726392,1.71252048992162,38.3,0.3751909,310,"Midwest",81.4,7.9,10.3037974683544
"Winston-Salem",2011,NA,93013,138640,18096,17506,0.194553449517809,0.126269474899019,0.0682839746187903,1.54077974643831,67.91,0.3489226,484,"South",80.7,14.1,5.72340425531915
"Austin",2010,NA,83798,706592,6163,27194,0.0735459080168978,0.0384861419319777,0.0350597660849201,1.91097117884371,52.54,0.3100942,1247,"South",69.2,8.7,7.95402298850575
"Bakersfield",2010,NA,43368,304115,1371,11139,0.0316131710016602,0.0366275915360965,-0.00501442053443633,0.863097181000978,57.52,0.3496845,227,"West",75,3.4,22.0588235294118
"Burlington",2010,NA,1783,40634,NA,NA,NA,NA,NA,NA,51.07,0.3583126,335,"Northeast",92,2,46
"Charlotte",2010,NA,365306,366118,77594,54730,0.21240822762287,0.149487323759007,0.0629209038638629,1.42091130058158,73,0.2655183,1491,"South",77.2,16.5,4.67878787878788
"Cincinti",2010,NA,141372,155573,29370,21641,0.207749766573296,0.139105114640715,0.0686446519325807,1.49347324223037,71.84,0.3433929,1404,"Midwest",66.1,30.6,2.16013071895425
"Columbus",2010,NA,246223,540810,NA,NA,NA,NA,NA,NA,75.69,0.3255517,1819,"Midwest",86.4,11.3,7.64601769911504
"Durham",2010,NA,112114,116216,17694,8750,0.157821503112903,0.0752908377503958,0.0825306653625071,2.09615814923076,60.63,0.3081344,948,"South",64.4,29.6,2.17567567567568
"Fayetteville",2010,NA,96036,104746,20257,12943,0.210931317422633,0.123565577683157,0.0873657397394758,1.70703946339729,60.63,0.196516,308,"South",71.9,18.6,3.86559139784946
"Greensboro",2010,NA,123016,146650,27528,22431,0.223775769005658,0.152956017729287,0.0708197512763704,1.46300729011991,67.91,0.2126226,651,"South",75.8,19.6,3.86734693877551
"Hartford",2010,NA,70493,54282,NA,NA,NA,NA,NA,NA,63.93,0.3370434,1187,"Northeast",64.7,12.4,5.21774193548387
"Houston",2010,NA,628546,1471717,NA,NA,NA,NA,NA,NA,51.26,0.2334686,2570,"South",45.1,22.8,1.9780701754386
"Little Rock",2010,NA,89759,103765,NA,NA,NA,NA,NA,NA,61.89,0.2628312,546,"South",68.5,27.9,2.45519713261649
"Los Angeles",2010,NA,612949,3179672,57975,122701,0.0945837255628119,0.0385892003955125,0.0559945251672994,2.45104134300256,64.39,0.3121611,5943,"West",35.4,11.6,3.05172413793103
"Louisville",2010,NA,136710,460627,NA,NA,NA,NA,NA,NA,71.64,0.3315899,1051,"South",84.8,11.7,7.24786324786325
