"Region","City","year","partialYearMonths","BlackPop","WhitePop","StanfordStopsBl","StanfordStopsWh","StanSearchBl","StanSearchWh","StanFriskBl","StanFriskWh","BlackProp","WhiteProp","DiffBlackMinusWhite","RatioBlackWhite","animus_score","implicit_score_mean","implicit_nobs","WhitePoliceShare","WhitePopShare","HispPoliceShare","HispPopShare","BlackPoliceShare","BlackPopShare","AsianPoliceShare","AsianPopShare","PoliceRatioWhBl","ProbSearchIfStopBl","ProbSearchIfStopWh","ProbSearchIfStopRatio","ProbSearchWh","ProbSearchBl","ProbSearchRatio","ProbFriskWh","ProbFriskBl","ProbFriskIfStopBl","ProbFriskIfStopWh","ProbFriskIfStopRatio","ProbFriskRatio","WhitePoliceOver"
"Northeast","Raleigh",2014,NA,155488.666666667,329212,33706.6666666667,28595.3333333333,1461.16666666667,441.833333333333,159,8,0.2212,0.0912666666666667,0.129933333333333,2.53513333333333,60.63,0.302522222222222,1412.66666666667,83.8,52.8,3.1,11.3,12.2,29.2,0.9,4.4,6.87,0.0437677251304823,0.0153984135209856,11.1362430627394,0.0014343226688581,0.00961683263846695,27.5301146414923,2.56007777095951e-05,0.00105142814669446,0.00466278156314281,0.00028736239702051,11.1382868232334,27.7059096478582,1.58712121212121
"South","San Antonio",2014,4,118578.444444444,1306537.88888889,11932.7142857143,43444.2857142857,173,390.857142857143,NA,NA,0.108371428571429,0.0356857142857143,0.0726714285714286,3.07822857142857,46.23,0.302988888888889,1043.22222222222,42.3,26.5,51.5,63,5.4,6.5,0,2.3,7.83,0.0140412152028627,0.00928202932712805,1.52516614512664,0.000297569121479753,0.00145891069287049,4.60909477544303,NA,NA,NA,NA,NA,NA,1.59622641509434
"South","San Diego",2014,3,132084.555555556,1227072.44444444,10673,40541.5,968.25,1127.5,NA,NA,0.081025,0.032675,0.048325,2.553025,52.04,0.314488888888889,2867.44444444444,65.7,43.3,19.6,29.9,6.5,6.4,4.3,16.5,10.11,0.0894553580087659,0.0291004151835248,3.15466802134011,0.000909376370228062,0.00734871179601514,8.03030091986041,NA,NA,NA,NA,NA,NA,1.51732101616628
"West","San Francisco",2014,6,59516.1111111111,488306.888888889,13642,32959.8571428571,2173.28571428571,871.285714285714,NA,NA,0.246928571428571,0.0725571428571429,0.174385714285714,3.508,47.64,0.2726,6790.33333333333,52.4,41.6,15.7,15.3,9,5.5,22.3,33.1,5.82,0.158416607641405,0.0253657449526616,6.45392290768188,0.00181819763023012,0.0365996116013767,23.0159237608712,NA,NA,NA,NA,NA,NA,1.25961538461538
"West","San Jose",2014,5,68239.2222222222,911415.333333333,1241.16666666667,2672.5,290.166666666667,332.166666666667,NA,NA,0.0204666666666667,0.00325,0.0172166666666667,6.2271,47.64,0.309955555555556,2405.77777777778,56.3,27.7,24.4,33.4,4.7,2.7,3,32.6,11.98,0.229177946400509,0.12569894461883,1.88113020809985,0.000360806957993051,0.00420435333008943,11.5904617197796,NA,NA,NA,NA,NA,NA,2.03249097472924
"West","shville",2014,NA,192798.555555556,439355.888888889,128983.888888889,184817.888888889,7529.22222222222,5293.55555555556,3803.44444444444,2311.44444444444,0.673544444444444,0.422933333333333,0.2506,1.58226666666667,63.43,0.293288888888889,1254.55555555556,84.9,56,1,10.1,12.3,28.2,1.5,3.2,6.9,0.0589967954579363,0.028149948902844,2.12968975429898,0.0121502461492112,0.0393026572209256,3.35588051865439,0.00532107066188146,0.0199414345538786,0.0291231279845944,0.0121649974673099,2.4439641646455,3.85547506829514,1.51607142857143
"West","Stockton",2014,1,69345.7777777778,231690.111111111,2174,1710.6,540,170.2,NA,NA,0.03152,0.00736,0.02418,4.06246,61.89,0.277711111111111,315.888888888889,65.3,21.6,22.9,42.1,2.3,10.6,8.2,21.3,28.39,0.239635013936176,0.0940447094580685,2.59101302377361,0.000729598350930086,0.00783080589089496,10.4632250466684,NA,NA,NA,NA,NA,NA,3.02314814814815
"South","Tampa",2014,3,103327.888888889,260821.888888889,41984.6666666667,91217,NA,NA,NA,NA,0.424388888888889,0.369644444444444,0.0547222222222222,1.1691,68.72,0.327266666666667,2005.11111111111,69.3,46.1,14.3,22.6,14.5,24.7,1.6,3.8,4.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.50325379609544
"South","Tulsa",2014,NA,77846.1111111111,318186.111111111,6853.28571428571,26754.2857142857,NA,NA,NA,NA,0.0878857142857143,0.0845,0.0034,1.03594285714286,40.59,0.304277777777778,517.333333333333,76.2,57,2.6,14.6,9.9,14.9,1.3,2.5,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33684210526316
"Midwest","Wichita",2014,NA,51748.5555555556,333983.666666667,10774.1428571429,42000.1428571429,NA,NA,NA,NA,0.206814285714286,0.126285714285714,0.0805142857142857,1.62534285714286,38.3,0.319977777777778,366.888888888889,81.4,63.8,7.1,15.9,7.9,11.1,3,4.7,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27586206896552
"South","Winston-Salem",2014,NA,93692.5555555556,144070.111111111,16580,14625,349.833333333333,247.833333333333,4.5,2.66666666666667,0.177616666666667,0.103766666666667,0.0738333333333333,1.7384,67.91,0.292955555555556,557.222222222222,80.7,46.5,4,15.5,14.1,34,0.7,1.9,5.72,0.0210560441784601,0.016716546391398,1.29183236485007,0.00176358428991171,0.00374787146632196,2.27429468157766,1.90564135946112e-05,4.82006371668421e-05,0.000278229266717962,0.000178415323087333,Inf,Inf,1.73548387096774
